transaction_id,customer_id,transaction_time,transaction_amount,transaction_type,merchant_category,transaction_location,is_declined,is_fraud,transaction_hour,transaction_day_of_week,customer_num_txn_1d,customer_num_txn_7d,customer_avg_amount_7d,time_since_last_txn,num_unique_locations_1h,customer_account_age_days
c914b423,CUST_0001,2024-01-01 12:49:00,519.87,POS,Groceries,Port Harcourt,0,0,12,0,0,0,0.0,0.0,0,0
0bddd0e3,CUST_0001,2024-01-01 14:20:00,2897.24,Online,Electronics,Abuja,0,0,14,0,1,1,519.87,91.0,0,0
5d687e2d,CUST_0001,2024-01-02 21:47:00,302.04,POS,Restaurants,Lagos,0,0,21,1,0,2,1708.5549999999998,1887.0,0,1
1566cdde,CUST_0001,2024-01-03 16:50:00,374.89,ATM,,Lagos,0,0,16,2,1,3,1239.7166666666665,1143.0,0,2
b593edf7,CUST_0001,2024-01-04 16:31:00,2728.87,POS,Groceries,Abuja,0,0,16,3,1,4,1023.5099999999999,1421.0,0,3
8ef84385,CUST_0001,2024-01-05 08:25:00,942.02,Online,Restaurants,Kano,0,0,8,4,1,5,1364.5819999999999,954.0,0,3
4062a623,CUST_0001,2024-01-08 21:54:00,562.71,POS,Restaurants,Abuja,1,0,21,0,0,4,1086.955,5129.0,0,7
898cdfd5,CUST_0001,2024-01-11 23:15:00,2819.1,ATM,,Abuja,0,0,23,3,0,2,752.365,4401.0,0,10
a132d486,CUST_0001,2024-01-12 03:03:00,2766.4,ATM,,Kano,0,0,3,4,1,3,1441.2766666666666,228.0,0,10
01545c6b,CUST_0001,2024-01-13 19:11:00,145.23,Transfer,,Lagos,0,0,19,5,0,3,2049.403333333333,2408.0,0,12
756a9e99,CUST_0001,2024-01-18 19:38:00,821.33,Online,Fashion,Port Harcourt,0,0,19,3,0,3,1910.243333333333,7227.0,0,17
3b971970,CUST_0001,2024-01-20 22:13:00,849.99,Transfer,,Abuja,0,0,22,5,0,1,821.33,3035.0,0,19
1d8cfacc,CUST_0001,2024-01-22 21:51:00,2408.57,Online,Utilities,Lagos,0,1,21,0,0,2,835.6600000000001,2858.0,0,21
641f2bd6,CUST_0001,2024-01-25 20:13:00,2319.01,POS,Fashion,Lagos,0,0,20,3,0,2,1629.2800000000002,4222.0,0,24
d1fac173,CUST_0001,2024-01-26 19:54:00,2448.23,Transfer,,Port Harcourt,0,0,19,4,1,3,1859.1900000000003,1421.0,0,25
4d7a9d5e,CUST_0001,2024-01-29 12:50:00,2316.1,Transfer,,Lagos,0,0,12,0,0,3,2391.9366666666665,3896.0,0,28
b8b13512,CUST_0001,2024-01-29 21:26:00,356.45,ATM,,Kano,0,0,21,0,1,4,2372.9775,516.0,0,28
142c4f7b,CUST_0001,2024-01-31 15:31:00,999.39,POS,Fashion,Lagos,0,0,15,2,0,4,1859.9475,2525.0,0,30
1c33a033,CUST_0001,2024-02-07 07:07:00,982.3,Transfer,,Kano,0,0,7,2,0,1,999.39,9576.0,0,36
85a0ca9f,CUST_0001,2024-02-08 02:46:00,2662.77,Transfer,,Kano,0,0,2,3,1,1,982.3,1179.0,0,37
ad3b8e6d,CUST_0001,2024-02-09 12:06:00,2142.6,Online,Groceries,Lagos,0,0,12,4,0,2,1822.5349999999999,2000.0,0,38
581259dd,CUST_0001,2024-02-11 01:50:00,2315.19,Online,Utilities,Lagos,0,0,1,6,0,3,1929.2233333333334,2264.0,0,40
259a00a0,CUST_0001,2024-02-11 11:35:00,1288.35,Online,Groceries,Ibadan,0,0,11,6,1,4,2025.7150000000001,585.0,0,40
e43513b4,CUST_0001,2024-02-11 20:23:00,103.97,Transfer,,Ibadan,0,0,20,6,2,5,1878.2420000000002,528.0,0,41
29dda73e,CUST_0001,2024-02-13 17:15:00,1530.63,Transfer,,Abuja,0,0,17,1,0,6,1582.53,2692.0,0,43
4e90c11e,CUST_0001,2024-02-15 00:20:00,1237.04,Transfer,,Port Harcourt,0,0,0,3,0,6,1673.918333333333,1865.0,0,44
d1128d7e,CUST_0001,2024-02-15 02:05:00,240.17,Online,Utilities,Lagos,0,0,2,3,1,7,1611.5071428571428,105.0,0,44
05585c9a,CUST_0001,2024-02-15 15:25:00,2789.8,Online,Restaurants,Abuja,0,0,15,3,2,7,1265.4214285714284,800.0,0,45
de0c1af3,CUST_0001,2024-02-16 09:23:00,2615.67,Online,Fashion,Ibadan,0,0,9,4,1,8,1455.96875,1078.0,0,45
b9a739a9,CUST_0001,2024-02-16 16:21:00,2678.75,Transfer,,Kano,0,0,16,4,1,8,1515.1025,418.0,0,46
e868ae1c,CUST_0001,2024-02-16 19:55:00,2689.31,Online,Utilities,Lagos,0,0,19,4,2,9,1644.3966666666665,214.0,0,46
43b62963,CUST_0001,2024-02-17 04:49:00,691.53,Online,Groceries,Port Harcourt,0,0,4,5,3,10,1748.8880000000001,534.0,0,46
e6b7ece6,CUST_0001,2024-02-17 23:32:00,2583.58,ATM,,Port Harcourt,0,0,23,5,1,11,1652.7645454545454,1123.0,0,47
383fd0b5,CUST_0001,2024-02-19 22:52:00,1258.06,POS,Electronics,Kano,0,0,22,0,0,9,1895.1644444444448,2840.0,0,49
